"","0","1","2","3","Number of Proteins","Proteome Length","ID","Pathogen","Organism","Organism.Id","Protein.count","CPD","Components","Taxon.mnemonic","Taxonomic.lineage","Genome.assembly.ID","Genome.representation","Chronic.or.Acute","Genome","Family_Viral_Zone","superkingdom","kingdom","phylum","class","order","family","genus","species","0_corrected","1_corrected","2_corrected","3_corrected"
"12",3,805,4348,4525,"   3","4546","UP000000569","Chikungunya virus","Chikungunya virus (strain S27-African prototype) (CHIKV)",371094,"3","Standard","Genome","CHIKS","Viruses, Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Martellivirales, Togaviridae, Alphavirus, Chikungunya virus","GCA_000854045.1","full","Acute","ssRNA+","Togaviridae","Viruses","Orthornavirae","Kitrinoviricota","Alsuviricetes","Martellivirales","Togaviridae","Alphavirus","Chikungunya virus",0.0661375661375661,17.7469135802469,95.8553791887125,99.7574955908289
"13",7,361,2045,2117,"   1","2124","UP000029753","Cosavirus A","Cosavirus A (isolate Human/Pakistan/0553/-) (HCoSV-A)",1554483,"1","Standard","Genome","COSAA","Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Picornaviridae, Cosavirus, Cosavirus A, Human cosavirus A","GCA_000885595.1","full","Acute","ssRNA+","Picornaviridae","Viruses","Orthornavirae","Pisuviricota","Pisoniviricetes","Picornavirales","Picornaviridae","Cosavirus","Cosavirus A",0.330812854442344,17.0604914933837,96.6446124763705,100.047258979206
"14",432,10182,63381,65743,"  225","67318","UP000152733","Cowpox virus","Cowpox virus (strain Brighton Red) (CPV)",265872,"225","Close to standard (high value)","Genome","CWPXB","Viruses, Varidnaviria, Bamfordvirae, Nucleocytoviricota, Pokkesviricetes, Chitovirales, Poxviridae, Chordopoxvirinae, Orthopoxvirus, Cowpox virus","GCA_000839185.1","full","Acute","dsDNA","Poxviridae","Viruses","Bamfordvirae","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Orthopoxvirus","Cowpox virus",0.643949557284679,15.1775333154458,94.4772381718988,97.9980920013118
"15",6,376,2109,2186,"   1","2193","UP000007757","Coxsackievirus A16","Coxsackievirus A16 (strain G-10)",69159,"1","Standard","Genome","CX16G","Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Picornaviridae, Enterovirus, Enterovirus A, Coxsackievirus A16","GCA_000861905.1","full","Acute","ssRNA+","Picornaviridae","Viruses","Orthornavirae","Pisuviricota","Pisoniviricetes","Picornavirales","Picornaviridae","Enterovirus","Enterovirus A",0.274599542334096,17.20823798627,96.5217391304348,100.045766590389
"16",21,1179,5927,6090,"   3","6111","UP000008767","Crimean-Congo hemorrhagic fever virus","Crimean-Congo hemorrhagic fever virus (strain Nigeria/IbAr10200/1970) (CCHFV)",652961,"3","Unknown","Genome","CCHFI","Viruses, Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Ellioviricetes, Bunyavirales, Nairoviridae, Orthonairovirus, Crimean-Congo hemorrhagic fever orthonairovirus","GCA_000854165.1","full","Acute","ssRNA-","Nairoviridae","Viruses","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Nairoviridae","Orthonairovirus","Crimean-Congo hemorrhagic fever orthonairovirus",0.34420586789051,19.32470086871,97.1480085231929,99.8197016882478
"17",4,550,3249,3385,"   1","3392","UP000002500","Dengue virus type 1","Dengue virus type 1 (strain Nauru/West Pac/1974) (DENV-1)",11059,"1","Standard","Genome","DEN1W","Viruses, Riboviria, Orthornavirae, Kitrinoviricota, Flasuviricetes, Amarillovirales, Flaviviridae, Flavivirus, Dengue virus, Dengue virus 1","GCA_000862125.1","full","Acute","ssRNA+","Flaviviridae","Viruses","Orthornavirae","Kitrinoviricota","Flasuviricetes","Amarillovirales","Flaviviridae","Flavivirus","Dengue virus",0.118203309692671,16.2529550827423,96.0106382978723,100.029550827423
"18",6,587,3230,3319,"   6","3361","UP000181622","Dhori virus (Thogotovirus dhoriense)","Dhori thogotovirus",11318,"6","Unknown","Genome","UP000181622","Viruses, Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Insthoviricetes, Articulavirales, Orthomyxoviridae, Thogotovirus","GCA_002116195.1","partial","Acute","ssRNA-","Orthomyxoviridae","Viruses","Orthornavirae","Negarnaviricota","Insthoviricetes","Articulavirales","Orthomyxoviridae","Thogotovirus","Thogotovirus dhoriense",0.17921146953405,17.5328554360812,96.4755077658303,99.1338112305854
"19",20,1206,5922,6049,"   3","6070","UP000000278","Dugbe virus","Dugbe virus (isolate ArD44313) (DUGV)",766194,"3","Unknown","Genome","DUGBA","Viruses, Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Ellioviricetes, Bunyavirales, Nairoviridae, Orthonairovirus, Dugbe virus","GCA_000850985.1","partial","Acute","ssRNA-","Nairoviridae","Viruses","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Nairoviridae","Orthonairovirus","Dugbe orthonairovirus",0.33003300330033,19.9009900990099,97.7227722772277,99.8184818481848
"20",6,654,3494,3576,"   5","3611","UP000117552","Duvenhage virus","Duvenhage virus (DUVV)",38767,"5","Standard","Genome","DUVV","Viruses, Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Rhabdoviridae, Alpharhabdovirinae, Lyssavirus",NA,NA,"Acute","ssRNA-","Rhabdoviridae","Viruses","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Rhabdoviridae","Lyssavirus","Lyssavirus duvenhage",0.166712975826619,18.1717143651014,97.0825229230342,99.3609335926646
"21",4,588,3601,3722,"   2","3736","UP000110644","Eastern equine encephalitis virus","Eastern equine encephalitis virus (strain Florida 91-469) (EEEV) (Eastern equine encephalomyelitis virus)",374598,"2","Standard","Genome","EEEVF","Viruses, Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Martellivirales, Togaviridae, Alphavirus, Eastern equine encephalitis virus",NA,NA,"Acute","ssRNA+","Togaviridae","Viruses","Orthornavirae","Kitrinoviricota","Alsuviricetes","Martellivirales","Togaviridae","Alphavirus","Eastern equine encephalitis virus",0.107324926214113,15.7767641534746,96.6192648242554,99.8658438422324
"22",11,955,5279,5431,"   9","5494","UP000007209","Zaire ebolavirus","Zaire ebolavirus (strain Mayinga-76) (ZEBOV) (Zaire Ebola virus)",128952,"9","Standard","Genome","EBOZM","Viruses, Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Filoviridae, Ebolavirus, Zaire ebolavirus, Ebola virus","GCA_000848505.1","full","Acute","ssRNA-","Filoviridae","Viruses","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Filoviridae","Ebolavirus","Zaire ebolavirus",0.200803212851406,17.4333698430084,96.3672873311427,99.1420226359985
"23",1,323,2091,2172,"   1","2179","UP000000670","Echovirus 23","Human parechovirus 2 (strain Williamson) (HPeV-2) (Echovirus 23)",122962,"1","Standard","Genome","HPE2W","Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Picornaviridae, Parechovirus, Parechovirus A, Human parechovirus 2","GCA_000861505.1","full","Acute","ssRNA+","Picornaviridae","Viruses","Orthornavirae","Pisuviricota","Pisoniviricetes","Picornavirales","Picornaviridae","Parechovirus","Parechovirus A",0.0460617227084293,14.8779364348227,96.3150621833257,100.046061722708
"24",8,417,2332,2406,"   2","2420","UP000002319","Encephalomyocarditis virus","Encephalomyocarditis virus (strain Rueckert) (EMCV)",2870365,"2","Standard","Genome","EMCVR","Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Picornaviridae, Cardiovirus, Cardiovirus A, Encephalomyocarditis virus","GCA_000862985.1","full","Acute","ssRNA+","Picornaviridae","Viruses","Orthornavirae","Pisuviricota","Pisoniviricetes","Picornavirales","Picornaviridae","Cardiovirus","Cardiovirus A",0.331812525922854,17.2957279137287,96.7233513065118,99.7926171712982
"25",637,11610,40906,41710,"   85","42305","UP000153037","Epstein-Barr virus","Epstein-Barr virus (strain B95-8) (HHV-4) (Human herpesvirus 4)",10377,"92","Close to standard (high value)","Genome","EBVB9","Viruses, Duplodnaviria, Heunggongvirae, Peploviricota, Herviviricetes, Herpesvirales, Herpesviridae, Gammaherpesvirinae, Lymphocryptovirus, Epstein-Barr virus (strain GD1)","GCA_002402265.1","full","Chronic","dsDNA","Herpesviridae","Viruses","Heunggongvirae","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Lymphocryptovirus","Lymphocryptovirus humangamma4",1.50901381091133,27.5033757373321,96.9037974083813,98.8084239452301
"26",7,615,3480,3567,"   5","3602","UP000008926","European bat lyssavirus 1","European bat lyssavirus 1 (strain Bat/Germany/RV9/1968) (EBLV1)",453115,"5","Standard","Genome","EBLV1","Viruses, Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Rhabdoviridae, Alpharhabdovirinae, Lyssavirus, European bat 1 lyssavirus","GCA_000870765.1","full","Acute","ssRNA-","Rhabdoviridae","Viruses","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Rhabdoviridae","Lyssavirus","Lyssavirus hamburg",0.194986072423398,17.1309192200557,96.9359331476323,99.3593314763231
"27",6,560,3570,3694,"   3","3715","UP000008627","Hantaan virus","Hantaan virus (strain 76-118) (Korean hemorrhagic fever virus)",11602,"3","Unknown","Genome","HANTV","Viruses, Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Ellioviricetes, Bunyavirales, Hantaviridae, Mammantavirinae, Orthohantavirus, Hantaan orthohantavirus","GCA_000856085.1","full","Acute","ssRNA-","Hantaviridae","Viruses","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Hantaviridae","Orthohantavirus","Hantaan orthohantavirus",0.161943319838057,15.114709851552,96.3562753036437,99.7031039136302
"28",13,921,5832,5993,"   9","6056","UP000008771","Hendra virus","Hendra virus (isolate Horse/Autralia/Hendra/1994)",928303,"9","Standard","Genome","HENDH","Viruses, Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Paramyxoviridae, Orthoparamyxovirinae, Henipavirus, Hendra henipavirus","GCA_000852685.1","full","Acute","ssRNA-","Paramyxoviridae","Viruses","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Paramyxoviridae","Henipavirus","Henipavirus hendraense",0.21523178807947,15.2483443708609,96.5562913907285,99.2218543046358
"29",3,299,2125,2220,"   1","2227","UP000006724","Human hepatitis A virus genotype IB","Human hepatitis A virus genotype IB (isolate HM175) (HHAV) (Human hepatitis A virus (isolate Human/Australia/HM175/1976))",12098,"1","Outlier (high value)","Genome","HAVHM","Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Picornaviridae, Hepatovirus, Hepatovirus A, Human hepatitis A virus","GCA_000860505.1","full","Acute","ssRNA+","Picornaviridae","Viruses","Orthornavirae","Pisuviricota","Pisoniviricetes","Picornavirales","Picornaviridae","Hepatovirus","Hepatovirus A",0.135196034249662,13.4745380802163,95.7638575935106,100.04506534475
"30",7,437,1718,1757,"   5","1792","UP000008591","Hepatitis B virus genotype C subtype ayr","Hepatitis B virus genotype C subtype ayr (isolate Human/Japan/Okamoto/-) (HBV-C)",928302,"5","Standard","Genome","HBVCJ","Viruses, Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Blubervirales, Hepadnaviridae, Orthohepadnavirus, Hepatitis B virus, hepatitis B virus genotype C","GCA_003052205.1","full","Chronic","dsDNA-RT","Hepadnaviridae","Viruses","Pararnavirae","Artverviricota","Revtraviricetes","Blubervirales","Hepadnaviridae","Orthohepadnavirus","Hepatitis B virus",0.393258426966292,24.5505617977528,96.5168539325843,98.7078651685393
"31",20,749,3053,3159,"   2","3173","UP000000518","Hepatitis C virus genotype 1a","Hepatitis C virus genotype 1a (isolate H77) (HCV)",63746,"2","Standard","Genome","HCV77","Viruses, Riboviria, Orthornavirae, Kitrinoviricota, Flasuviricetes, Amarillovirales, Flaviviridae, Hepacivirus, Hepacivirus C, hepatitis C virus genotype 1a","GCA_000861845.1","full","Chronic","ssRNA+","Flaviviridae","Viruses","Orthornavirae","Kitrinoviricota","Flasuviricetes","Amarillovirales","Flaviviridae","Hepacivirus","Hepacivirus hominis",0.632111251580278,23.6725663716814,96.4917825537295,99.8419721871049
"32",8,155,395,395,"  2","409","UP000006675","Hepatitis delta virus genotype I","Hepatitis delta virus genotype I (isolate D380) (HDV)",31762,"2","Standard","Genome","HDVD3","Viruses, Ribozyviria, Kolmioviridae, Deltavirus, Hepatitis delta virus","GCA_000856565.1","full","Chronic","circular ssRNA-","Kolmioviridae","Viruses",NA,NA,NA,NA,"Kolmioviridae","Deltavirus","Hepatitis delta virus",2,38.75,98.75,98.75
"33",12,559,2403,2446,"   3","2467","UP000006705","Hepatitis E virus genotype 1","Hepatitis E virus genotype 1 (isolate Human/China/HeBei/1987) (HEV)",652674,"3","Outlier (high value)","Genome","HEVCH","Viruses, Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Hepelivirales, Hepeviridae, Orthohepevirus, Hepatitis E virus","GCA_000861105.1","full","Acute","ssRNA+","Hepeviridae","Viruses","Orthornavirae","Kitrinoviricota","Alsuviricetes","Hepelivirales","Hepeviridae","Paslahepevirus","Paslahepevirus balayani",0.488400488400488,22.7513227513227,97.8021978021978,99.5522995522995
"34",7,338,1520,1562,"   4","1590","UP000007407","Hepatitis B virus genotype G","Hepatitis B virus genotype G (isolate IG29227/2000) (HBV-G)",489538,"4","Close to standard (low value)","Genome","HBVG3","Viruses, Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Blubervirales, Hepadnaviridae, Orthohepadnavirus, Hepatitis B virus, hepatitis B virus genotype G","GCA_003033055.1","full","Chronic","dsDNA-RT","Hepadnaviridae","Viruses","Pararnavirae","Artverviricota","Revtraviricetes","Blubervirales","Hepadnaviridae","Orthohepadnavirus","Hepatitis B virus",0.443318556048132,21.4059531348955,96.2634578847372,98.923369221026
"35",362,9166,58579,60818,"  228","62414","UP000111173","Horsepox virus","Horsepox virus (HSPV)",397342,"228","Standard","Genome","HSPV","Viruses, Varidnaviria, Bamfordvirae, Nucleocytoviricota, Pokkesviricetes, Chitovirales, Poxviridae, Chordopoxvirinae, Orthopoxvirus, Vaccinia virus","GCA_006449675.1","full","Acute","dsDNA","Poxviridae","Viruses","Bamfordvirae","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Orthopoxvirus","Vaccinia virus",0.582190128499976,14.7413113752231,94.2102639154699,97.8111581080429
"36",144,3063,12261,12559,"   45","12874","UP000008167","Human adenovirus C serotype 2","Human adenovirus C serotype 2 (HAdV-2) (Human adenovirus 2)",10515,"45","Close to standard (low value)","Genome","ADE02","Viruses, Varidnaviria, Bamfordvirae, Preplasmiviricota, Tectiliviricetes, Rowavirales, Adenoviridae, Mastadenovirus, Human mastadenovirus C","GCA_000845085.1","full","Chronic for immuncompromised hosts","dsDNA","Adenoviridae","Viruses","Bamfordvirae","Preplasmiviricota","Tectiliviricetes","Rowavirales","Adenoviridae","Mastadenovirus","Human mastadenovirus C",1.12306972391203,23.8886289190454,95.6247075339261,97.9488379347996
"37",10,590,3034,3136,"   3","3157","UP000001650","Human astrovirus-1","Human astrovirus-1 (HAstV-1)",12456,"3","Outlier (low value)","Genome","HASV1","Viruses, Riboviria, Orthornavirae, Pisuviricota, Stelpaviricetes, Stellavirales, Astroviridae, Mamastrovirus, Mamastrovirus 1","GCA_000861865.1","full","Acute","ssRNA+","Astroviridae","Viruses","Orthornavirae","Pisuviricota","Stelpaviricetes","Stellavirales","Astroviridae","Mamastrovirus","Mamastrovirus 1",0.317762948840165,18.7480139815697,96.4092786781061,99.6504607562758
"38",25,1978,12366,12872,"    8","12928","UP000006716","Human coronavirus 229E (HCoV-229E)","Human coronavirus 229E (HCoV-229E)",11137,"8","Outlier (high value)","Genome","CVH22","Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Nidovirales, Cornidovirineae, Coronaviridae, Orthocoronavirinae, Alphacoronavirus, Duvinacovirus","GCA_000853505.1","full","Acute","ssRNA+","Coronaviridae","Viruses","Orthornavirae","Pisuviricota","Pisoniviricetes","Nidovirales","Coronaviridae","Alphacoronavirus","Human coronavirus 229E",0.19360334546581,15.3178966932549,95.7639588012081,99.6824905134361
"39",517,14625,60679,62284,"  168","63460","UP000000938","Human cytomegalovirus (Merlin)","Human cytomegalovirus (Merlin)",10360,"168","Close to standard (high value)","Genome","HCMVM",NA,"GCA_000845245.1","full","Chronic","dsDNA","Herpesviridae","Viruses","Heunggongvirae","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Cytomegalovirus","Cytomegalovirus humanbeta5",0.816939243106581,23.1097416449396,95.8821205656949,98.4182665718575
"40",3,296,2101,2181,"   1","2188","UP000143570","Human enterovirus D68","Human enterovirus D68 (EV68) (EV-68)",42789,"1","Standard","Genome","HED68","Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Picornaviridae, Enterovirus, Enterovirus D",NA,NA,"Acute","ssRNA+","Picornaviridae","Viruses","Orthornavirae","Pisuviricota","Pisoniviricetes","Picornavirales","Picornaviridae","Enterovirus","Enterovirus D",0.137614678899083,13.5779816513761,96.3761467889908,100.045871559633
"41",3,312,2114,2187,"   1","2194","UP000008683","Human enterovirus 70","Human enterovirus 70 (strain J670/71) (EV70) (EV-70)",31915,"1","Standard","Genome","HE701","Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Picornaviridae, Enterovirus, Enterovirus D, enterovirus D70","GCA_000861205.1","full","Acute","ssRNA+","Picornaviridae","Viruses","Orthornavirae","Pisuviricota","Pisoniviricetes","Picornavirales","Picornaviridae","Enterovirus","Enterovirus D",0.137236962488564,14.2726440988106,96.7063129002745,100.045745654163
"42",384,10742,37298,37894,"   73","38405","UP000009294","Human herpesvirus 1 (strain 17)","Human herpesvirus 1 (strain 17) (HHV-1) (Human herpes simplex virus 1)",10299,"73","Close to standard (high value)","Genome","HHV11","Viruses, Duplodnaviria, Heunggongvirae, Peploviricota, Herviviricetes, Herpesvirales, Herpesviridae, Alphaherpesvirinae, Simplexvirus, Human herpesvirus 1","GCA_003052245.1","full","Chronic","dsDNA","Herpesviridae","Viruses","Heunggongvirae","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Simplexvirus","Simplexvirus humanalpha1",1.00195694716243,28.0287018917156,97.3202870189172,98.8754076973255
"43",463,11930,38444,39050,"   74","39568","UP000001874","Human herpesvirus 2 (strain HG52)","Human herpesvirus 2 (strain HG52) (HHV-2) (Human herpes simplex virus 2)",10315,"74","Close to standard (high value)","Genome","HHV2H","Viruses, Duplodnaviria, Heunggongvirae, Peploviricota, Herviviricetes, Herpesvirales, Herpesviridae, Alphaherpesvirinae, Simplexvirus, Human herpesvirus 2","GCA_003052145.1","full","Chronic","dsDNA","Herpesviridae","Viruses","Heunggongvirae","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Simplexvirus","Simplexvirus humanalpha2",1.17253779724973,30.2124749917694,97.3586243573834,98.8933066578874
"44",288,7821,43582,44979,"  107","45728","UP000009295","Human herpesvirus 6A","Human herpesvirus 6A (strain Uganda-1102) (HHV-6 variant A) (Human B lymphotropic virus)",10370,"107","Outlier (low value)","Genome","HHV6U","Viruses, Duplodnaviria, Heunggongvirae, Peploviricota, Herviviricetes, Herpesvirales, Herpesviridae, Betaherpesvirinae, Roseolovirus, Human betaherpesvirus 6A","GCA_000845685.2","full","Chronic","dsDNA","Herpesviridae","Viruses","Heunggongvirae","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Roseolovirus","Roseolovirus humanbeta6a",0.631385101065462,17.146051650809,95.5452273424826,98.6078835445258
"45",80,6466,39026,40276,"   99","40969","UP000009246","Human herpesvirus 7","Human herpesvirus 7 (strain JI) (HHV-7) (Human T lymphotropic virus)",57278,"102","Outlier (low value)","Genome","HHV7J","Viruses, Duplodnaviria, Heunggongvirae, Peploviricota, Herviviricetes, Herpesvirales, Herpesviridae, Betaherpesvirinae, Roseolovirus, Human betaherpesvirus 7",NA,NA,"Chronic","dsDNA","Herpesviridae","Viruses","Heunggongvirae","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Roseolovirus","Roseolovirus humanbeta7",0.19577612999535,15.8236057068742,95.5044906149818,98.5634926461591
