"","Proteome.ID","Pathogen","0_(0,1]","0_(1,2]","0_(2,3]","0_(3,4]","0_(4,6]","0_(6,10]","0_(10,20]","0_(20,323]","1_(0,1]","1_(1,2]","1_(2,3]","1_(3,4]","1_(4,6]","1_(6,10]","1_(10,20]","1_(20,323]","2_(0,1]","2_(1,2]","2_(2,3]","2_(3,4]","2_(4,6]","2_(6,10]","2_(10,20]","2_(20,323]","3_(0,1]","3_(1,2]","3_(2,3]","3_(3,4]","3_(4,6]","3_(6,10]","3_(10,20]","3_(20,323]"
"11","UP000009295","Human herpesvirus 6A","100% (4/4)",NA,NA,NA,NA,NA,NA,NA,"87.5% (49/56)","7.14% (4/56)",NA,NA,"1.79% (1/56)","1.79% (1/56)","1.79% (1/56)",NA,"80.79% (164/203)","9.36% (19/203)","0.49% (1/203)","0.49% (1/203)","0.99% (2/203)","2.46% (5/203)","2.46% (5/203)","2.96% (6/203)","69.44% (886/1276)","13.24% (169/1276)","6.82% (87/1276)","2.66% (34/1276)","3.76% (48/1276)","1.25% (16/1276)","1.02% (13/1276)","1.8% (23/1276)"
"12","UP000101269","Monkeypox virus","85.94% (110/128)","4.69% (6/128)",NA,"9.38% (12/128)",NA,NA,NA,NA,"90.05% (172/191)","2.09% (4/191)","0.52% (1/191)","0.52% (1/191)","6.81% (13/191)",NA,NA,NA,"88.62% (257/290)","2.07% (6/290)","0.34% (1/290)","2.41% (7/290)","1.72% (5/290)","0.69% (2/290)","4.14% (12/290)",NA,"82.21% (1137/1383)","9.62% (133/1383)","2.31% (32/1383)","1.16% (16/1383)","1.23% (17/1383)","1.52% (21/1383)","0.87% (12/1383)","1.08% (15/1383)"
"13","UP000111173","Horsepox virus","94.69% (107/113)","5.31% (6/113)",NA,NA,NA,NA,NA,NA,"96.69% (146/151)","2.65% (4/151)","0.66% (1/151)",NA,NA,NA,NA,NA,"94.2% (260/276)","3.62% (10/276)","0.72% (2/276)","0.72% (2/276)","0.72% (2/276)",NA,NA,NA,"83.52% (1171/1402)","8.92% (125/1402)","2.64% (37/1402)","1.5% (21/1402)","1% (14/1402)","1.21% (17/1402)","0.64% (9/1402)","0.57% (8/1402)"
"14","UP000136581","Yaba-like disease virus","100% (59/59)",NA,NA,NA,NA,NA,NA,NA,"87.5% (77/88)","4.55% (4/88)","1.14% (1/88)","2.27% (2/88)","2.27% (2/88)","2.27% (2/88)",NA,NA,"82.63% (138/167)","7.19% (12/167)","2.99% (5/167)","1.8% (3/167)","3.59% (6/167)","1.8% (3/167)",NA,NA,"78.74% (778/988)","10.22% (101/988)","3.64% (36/988)","2.02% (20/988)","2.63% (26/988)","2.02% (20/988)","0.61% (6/988)","0.1% (1/988)"
"15","UP000152733","Cowpox virus","82.35% (112/136)","4.41% (6/136)","0.74% (1/136)","12.5% (17/136)",NA,NA,NA,NA,"86.76% (177/204)","2.94% (6/204)","0.98% (2/204)",NA,"9.31% (19/204)",NA,NA,NA,"85.49% (277/324)","3.4% (11/324)","1.54% (5/324)","1.23% (4/324)","0.62% (2/324)","1.85% (6/324)","5.86% (19/324)",NA,"78.02% (1278/1638)","10.81% (177/1638)","3.66% (60/1638)","1.47% (24/1638)","1.77% (29/1638)","1.65% (27/1638)","0.73% (12/1638)","1.89% (31/1638)"
"16","UP000153037","Epstein-Barr virus","78.95% (90/114)","0.88% (1/114)","0.88% (1/114)","1.75% (2/114)","1.75% (2/114)","2.63% (3/114)",NA,"13.16% (15/114)","54.89% (129/235)","14.47% (34/235)","7.23% (17/235)","1.28% (3/235)","3.4% (8/235)","4.26% (10/235)","0.85% (2/235)","13.62% (32/235)","29.01% (143/493)","7.1% (35/493)","4.06% (20/493)","3.45% (17/493)","5.88% (29/493)","15.82% (78/493)","24.75% (122/493)","9.94% (49/493)","64.38% (1847/2869)","10.32% (296/2869)","3.38% (97/2869)","2.93% (84/2869)","2.86% (82/2869)","2.82% (81/2869)","1.92% (55/2869)","11.4% (327/2869)"
"17","UP000000571","Rubella virus",NA,NA,NA,NA,NA,NA,NA,NA,"100% (1/1)",NA,NA,NA,NA,NA,NA,NA,"81.82% (9/11)",NA,"9.09% (1/11)",NA,NA,"9.09% (1/11)",NA,NA,"70.83% (119/168)","10.71% (18/168)","3.57% (6/168)","3.57% (6/168)","2.98% (5/168)","2.98% (5/168)","2.98% (5/168)","2.38% (4/168)"
"18","UP000001061","Human T-cell leukemia virus 1",NA,NA,NA,NA,NA,NA,NA,NA,"100% (2/2)",NA,NA,NA,NA,NA,NA,NA,"88.89% (8/9)","11.11% (1/9)",NA,NA,NA,NA,NA,NA,"67.03% (183/273)","15.02% (41/273)","7.69% (21/273)","5.86% (16/273)","1.83% (5/273)","2.56% (7/273)",NA,NA
"19","UP000001650","Human astrovirus-1",NA,NA,NA,NA,NA,NA,NA,NA,"100% (2/2)",NA,NA,NA,NA,NA,NA,NA,"81.82% (9/11)",NA,NA,"9.09% (1/11)","9.09% (1/11)",NA,NA,NA,"68.67% (57/83)","8.43% (7/83)","9.64% (8/83)","4.82% (4/83)","2.41% (2/83)","2.41% (2/83)","1.2% (1/83)","2.41% (2/83)"
"20","UP000001874","Human herpesvirus 2 (strain HG52)",NA,NA,NA,NA,NA,NA,NA,NA,"17.98% (16/89)","20.22% (18/89)","15.73% (14/89)","1.12% (1/89)","17.98% (16/89)","26.97% (24/89)",NA,NA,"50.99% (155/304)","9.54% (29/304)","7.89% (24/304)","1.64% (5/304)","0.99% (3/304)","2.96% (9/304)","9.21% (28/304)","16.78% (51/304)","66.94% (2057/3073)","13.63% (419/3073)","4.75% (146/3073)","2.47% (76/3073)","2.7% (83/3073)","2.9% (89/3073)","2.18% (67/3073)","4.43% (136/3073)"
"21","UP000002602","Varicella-zoster virus",NA,NA,NA,NA,NA,NA,NA,NA,"100% (3/3)",NA,NA,NA,NA,NA,NA,NA,"62.79% (27/43)","11.63% (5/43)","13.95% (6/43)",NA,"2.33% (1/43)","2.33% (1/43)","2.33% (1/43)","4.65% (2/43)","83.89% (802/956)","7.11% (68/956)","1.99% (19/956)","1.26% (12/956)","1.88% (18/956)","2.2% (21/956)","0.63% (6/956)","1.05% (10/956)"
"22","UP000007407","Hepatitis B virus genotype G",NA,NA,NA,NA,NA,NA,NA,NA,"100% (1/1)",NA,NA,NA,NA,NA,NA,NA,"81.82% (9/11)","18.18% (2/11)",NA,NA,NA,NA,NA,NA,"62.12% (41/66)","9.09% (6/66)","7.58% (5/66)","3.03% (2/66)","7.58% (5/66)","7.58% (5/66)","3.03% (2/66)",NA
"23","UP000008591","Hepatitis B virus genotype C subtype ayr",NA,NA,NA,NA,NA,NA,NA,NA,"100% (2/2)",NA,NA,NA,NA,NA,NA,NA,"85.71% (24/28)","14.29% (4/28)",NA,NA,NA,NA,NA,NA,"46.94% (46/98)","12.24% (12/98)","13.27% (13/98)","5.1% (5/98)","10.2% (10/98)","8.16% (8/98)","4.08% (4/98)",NA
"24","UP000009246","Human herpesvirus 7",NA,NA,NA,NA,NA,NA,NA,NA,"85.71% (6/7)","14.29% (1/7)",NA,NA,NA,NA,NA,NA,"69.7% (23/33)","6.06% (2/33)",NA,NA,"3.03% (1/33)","9.09% (3/33)","6.06% (2/33)","6.06% (2/33)","86.47% (652/754)","5.97% (45/754)","1.86% (14/754)","0.93% (7/754)","0.66% (5/754)","1.46% (11/754)","1.72% (13/754)","0.93% (7/754)"
"25","UP000114294","Rotavirus B",NA,NA,NA,NA,NA,NA,NA,NA,"100% (1/1)",NA,NA,NA,NA,NA,NA,NA,"100% (3/3)",NA,NA,NA,NA,NA,NA,NA,"93.33% (70/75)","5.33% (4/75)",NA,"1.33% (1/75)",NA,NA,NA,NA
"26","UP000137988","Cercopithecine alphaherpesvirus 2",NA,NA,NA,NA,NA,NA,NA,NA,"81.82% (18/22)","18.18% (4/22)",NA,NA,NA,NA,NA,NA,"70% (196/280)","16.43% (46/280)","2.86% (8/280)","2.14% (6/280)","2.86% (8/280)","1.79% (5/280)","2.5% (7/280)","1.43% (4/280)","67.37% (2426/3601)","13.91% (501/3601)","6.08% (219/3601)","3.36% (121/3601)","3.36% (121/3601)","2.25% (81/3601)","2.19% (79/3601)","1.47% (53/3601)"
"27","UP000029742","Salivirus A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100% (2/2)",NA,NA,NA,NA,NA,"16.67% (1/6)","16.67% (1/6)",NA,"33.33% (2/6)","33.33% (2/6)",NA,"70.89% (56/79)","6.33% (5/79)","5.06% (4/79)","2.53% (2/79)","6.33% (5/79)","1.27% (1/79)","7.59% (6/79)",NA
"28","UP000119554","Aichi virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100% (2/2)",NA,NA,NA,"9.09% (1/11)","18.18% (2/11)","9.09% (1/11)","18.18% (2/11)","9.09% (1/11)","18.18% (2/11)","18.18% (2/11)",NA,"66.67% (66/99)","13.13% (13/99)","5.05% (5/99)","1.01% (1/99)","2.02% (2/99)","1.01% (1/99)","6.06% (6/99)","5.05% (5/99)"
"29","UP000000278","Dugbe virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100% (2/2)",NA,NA,NA,NA,NA,NA,NA,"86.84% (132/152)","9.21% (14/152)","2.63% (4/152)",NA,NA,"1.32% (2/152)",NA,NA
"30","UP000000354","Severe acute respiratory syndrome coronavirus (SARS-CoV)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68% (17/25)","16% (4/25)",NA,NA,"16% (4/25)",NA,NA,NA,"78.53% (267/340)","8.53% (29/340)","3.82% (13/340)","2.06% (7/340)","1.18% (4/340)","1.18% (4/340)","3.24% (11/340)","1.47% (5/340)"
"31","UP000000356","Poliovirus type 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100% (1/1)",NA,NA,NA,NA,NA,NA,NA,"93.18% (41/44)","4.55% (2/44)",NA,NA,"2.27% (1/44)",NA,NA,NA
"32","UP000000360","Yellow fever virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100% (4/4)",NA,NA,NA,NA,NA,NA,NA,"86.02% (80/93)","8.6% (8/93)","2.15% (2/93)","2.15% (2/93)","1.08% (1/93)",NA,NA,NA
"33","UP000000518","Hepatitis C virus genotype 1a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"83.33% (10/12)","8.33% (1/12)",NA,"8.33% (1/12)",NA,NA,NA,NA,"84.09% (111/132)","4.55% (6/132)","3.79% (5/132)","1.52% (2/132)",NA,"1.52% (2/132)","3.79% (5/132)","0.76% (1/132)"
"34","UP000000569","Chikungunya virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100% (2/2)",NA,NA,NA,NA,NA,NA,NA,"95.33% (102/107)","2.8% (3/107)","1.87% (2/107)",NA,NA,NA,NA,NA
"35","UP000000667","Sapovirus aka Sapporo virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66.67% (4/6)","16.67% (1/6)","16.67% (1/6)",NA,NA,NA,NA,NA,"81.82% (36/44)","4.55% (2/44)",NA,"2.27% (1/44)","2.27% (1/44)",NA,"4.55% (2/44)","4.55% (2/44)"
"36","UP000000670","Echovirus 23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100% (1/1)",NA,NA,NA,NA,NA,NA,NA,"82.14% (23/28)","17.86% (5/28)",NA,NA,NA,NA,NA,NA
"37","UP000000826","Norwalk virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33.33% (1/3)","66.67% (2/3)",NA,NA,NA,NA,NA,NA,"85.71% (60/70)","14.29% (10/70)",NA,NA,NA,NA,NA,NA
"38","UP000000832","Banna virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100% (4/4)",NA,NA,NA,NA,NA,NA,NA,"92% (115/125)","4.8% (6/125)","3.2% (4/125)",NA,NA,NA,NA,NA
"39","UP000001063","Simian foamy virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100% (1/1)",NA,NA,NA,NA,NA,NA,NA,"78.65% (70/89)","17.98% (16/89)",NA,NA,"2.25% (2/89)","1.12% (1/89)",NA,NA
"40","UP000001119","Rotavirus A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100% (2/2)",NA,NA,NA,NA,NA,NA,NA,"82.67% (62/75)","10.67% (8/75)","1.33% (1/75)",NA,"1.33% (1/75)","4% (3/75)",NA,NA
"41","UP000001448","Torque teno virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78.57% (11/14)",NA,"7.14% (1/14)",NA,"14.29% (2/14)",NA,NA,NA,"60.29% (82/136)","19.85% (27/136)","5.15% (7/136)","1.47% (2/136)","3.68% (5/136)","3.68% (5/136)",NA,"5.88% (8/136)"
"42","UP000002242","Human immunodeficiency virus type 2 subtype A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100% (8/8)",NA,NA,NA,NA,NA,NA,NA,"84.29% (118/140)","7.86% (11/140)","2.14% (3/140)","0.71% (1/140)","2.14% (3/140)",NA,"1.43% (2/140)","1.43% (2/140)"
"43","UP000002319","Encephalomyocarditis virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100% (2/2)",NA,NA,NA,NA,NA,NA,NA,"92.73% (51/55)","3.64% (2/55)","1.82% (1/55)",NA,"1.82% (1/55)",NA,NA,NA
"44","UP000002472","Human respiratory syncytial virus B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100% (1/1)",NA,NA,NA,NA,NA,NA,NA,"95.06% (77/81)","3.7% (3/81)","1.23% (1/81)",NA,NA,NA,NA,NA
"45","UP000002473","Lassa virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100% (1/1)",NA,NA,NA,NA,NA,NA,NA,"92.11% (70/76)","3.95% (3/76)","3.95% (3/76)",NA,NA,NA,NA,NA
"46","UP000006372","Human papillomavirus 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100% (4/4)",NA,NA,NA,NA,NA,NA,NA,"89.61% (69/77)","5.19% (4/77)","1.3% (1/77)","1.3% (1/77)","2.6% (2/77)",NA,NA,NA
"47","UP000006579","Ross river virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75% (3/4)","25% (1/4)",NA,NA,NA,NA,NA,NA,"84.71% (72/85)","11.76% (10/85)","2.35% (2/85)",NA,NA,"1.18% (1/85)",NA,NA
"48","UP000006624","Human parvovirus B19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66.67% (2/3)",NA,NA,NA,"33.33% (1/3)",NA,NA,NA,"70.91% (39/55)","5.45% (3/55)","10.91% (6/55)","1.82% (1/55)","1.82% (1/55)","7.27% (4/55)","1.82% (1/55)",NA
"49","UP000006705","Hepatitis E virus genotype 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"88.89% (8/9)","11.11% (1/9)",NA,NA,NA,NA,NA,NA,"73.81% (93/126)","13.49% (17/126)","4.76% (6/126)","1.59% (2/126)","3.17% (4/126)","2.38% (3/126)","0.79% (1/126)",NA
"50","UP000006710","Sindbis virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100% (8/8)",NA,NA,NA,NA,NA,NA,NA,"86.51% (109/126)","7.14% (9/126)","3.17% (4/126)","3.17% (4/126)",NA,NA,NA,NA
"51","UP000006716","Human coronavirus 229E (HCoV-229E)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"94.12% (16/17)",NA,"5.88% (1/17)",NA,NA,NA,NA,NA,"84.87% (202/238)","10.92% (26/238)","1.26% (3/238)","0.42% (1/238)","0.42% (1/238)","1.68% (4/238)",NA,"0.42% (1/238)"
"52","UP000006826","Mokola virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100% (2/2)",NA,NA,NA,NA,NA,NA,NA,"94.29% (66/70)","4.29% (3/70)",NA,NA,NA,"1.43% (1/70)",NA,NA
"53","UP000006848","Tick-borne powassan virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100% (2/2)",NA,NA,NA,NA,NA,NA,NA,"83.72% (72/86)","12.79% (11/86)","1.16% (1/86)",NA,"1.16% (1/86)","1.16% (1/86)",NA,NA
"54","UP000007070","Human rhinovirus A serotype 89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100% (3/3)",NA,NA,NA,NA,NA,NA,NA,"93.62% (44/47)","4.26% (2/47)","2.13% (1/47)",NA,NA,NA,NA,NA
"55","UP000007138","Sagiyama virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100% (5/5)",NA,NA,NA,NA,NA,NA,NA,"81.58% (62/76)","14.47% (11/76)","2.63% (2/76)",NA,"1.32% (1/76)",NA,NA,NA
"56","UP000007214","Japanese encephalitis virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100% (1/1)",NA,NA,NA,NA,NA,NA,NA,"96.88% (93/96)",NA,"1.04% (1/96)",NA,NA,"2.08% (2/96)",NA,NA
"57","UP000007226","Southampton virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100% (1/1)",NA,NA,NA,NA,NA,NA,NA,"79.01% (64/81)","9.88% (8/81)","2.47% (2/81)","1.23% (1/81)","2.47% (2/81)","3.7% (3/81)","1.23% (1/81)",NA
"58","UP000007232","Simian virus 5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100% (1/1)",NA,NA,NA,NA,NA,NA,NA,"90.32% (84/93)","7.53% (7/93)","1.08% (1/93)","1.08% (1/93)",NA,NA,NA,NA
"59","UP000007609","Barmah forest virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"80% (4/5)","20% (1/5)",NA,NA,NA,NA,NA,NA,"84.15% (69/82)","4.88% (4/82)","4.88% (4/82)","4.88% (4/82)","1.22% (1/82)",NA,NA,NA
"60","UP000007664","Rotavirus C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100% (4/4)",NA,NA,NA,NA,NA,NA,NA,"92.63% (88/95)","7.37% (7/95)",NA,NA,NA,NA,NA,NA
"61","UP000007710","Human papillomavirus 2a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100% (2/2)",NA,NA,NA,NA,NA,NA,NA,"84.27% (75/89)","5.62% (5/89)","4.49% (4/89)","1.12% (1/89)","4.49% (4/89)",NA,NA,NA
"62","UP000007767","Lordsdale virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100% (2/2)",NA,NA,NA,NA,NA,NA,NA,"82.61% (57/69)","15.94% (11/69)",NA,NA,NA,"1.45% (1/69)",NA,NA
"63","UP000007774","Mayaro virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100% (1/1)",NA,NA,NA,NA,NA,NA,NA,"88.76% (79/89)","5.62% (5/89)","4.49% (4/89)","1.12% (1/89)",NA,NA,NA,NA
"64","UP000008158","Influenza B virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100% (3/3)",NA,NA,NA,NA,NA,NA,NA,"93.33% (70/75)","6.67% (5/75)",NA,NA,NA,NA,NA,NA
"65","UP000008286","Influenza C virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100% (2/2)",NA,NA,NA,NA,NA,NA,NA,"95.38% (62/65)","3.08% (2/65)","1.54% (1/65)",NA,NA,NA,NA,NA
"66","UP000008448","Chandipura virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100% (1/1)",NA,NA,NA,NA,NA,NA,NA,"86.27% (44/51)","5.88% (3/51)",NA,NA,"5.88% (3/51)",NA,"1.96% (1/51)",NA
"67","UP000008478","JC polyomavirus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100% (1/1)",NA,NA,NA,NA,NA,NA,NA,"91.49% (43/47)","8.51% (4/47)",NA,NA,NA,NA,NA,NA
"68","UP000008595","Uukuniemi virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100% (1/1)",NA,NA,NA,NA,NA,NA,NA,"93.65% (59/63)","1.59% (1/63)",NA,NA,"1.59% (1/63)","3.17% (2/63)",NA,NA
