"","Proteome.ID","(11,12]","(12,13]","(13,14]","(14,15]","(15,16]","(16,20]","(20,30]","(30,90]","Pathogen"
"18","UP000001061","68.54% (464/677)","25.7% (174/677)","4.58% (31/677)","0.59% (4/677)","0.59% (4/677)",NA,NA,NA,"Human T-cell leukemia virus 1"
"19","UP000001063","52.03% (77/148)","35.81% (53/148)","10.81% (16/148)","1.35% (2/148)",NA,NA,NA,NA,"Simian foamy virus"
"20","UP000001119","66.28% (114/172)","23.26% (40/172)","8.72% (15/172)","1.74% (3/172)",NA,NA,NA,NA,"Rotavirus A"
"21","UP000001448","42.22% (282/668)","38.17% (255/668)","13.32% (89/668)","2.1% (14/668)","2.84% (19/668)","1.35% (9/668)",NA,NA,"Torque teno virus"
"22","UP000001650","54.36% (156/287)","39.37% (113/287)","4.18% (12/287)","1.74% (5/287)","0.35% (1/287)",NA,NA,NA,"Human astrovirus-1"
"23","UP000001874","74.14% (26725/36048)","19.54% (7045/36048)","3.55% (1280/36048)","1.88% (678/36048)","0.47% (171/36048)","0.4% (145/36048)","0.01% (4/36048)",NA,"Human herpesvirus 2 (strain HG52)"
"24","UP000002060","59.79% (1698/2840)","27.32% (776/2840)","8.98% (255/2840)","3.06% (87/2840)","0.74% (21/2840)","0.11% (3/2840)",NA,NA,"Variola virus"
"25","UP000002241","46.98% (70/149)","49.66% (74/149)","3.36% (5/149)",NA,NA,NA,NA,NA,"Human immunodeficiency virus type 1 group M subtype B"
"26","UP000002242","58.02% (228/393)","33.84% (133/393)","6.11% (24/393)","2.04% (8/393)",NA,NA,NA,NA,"Human immunodeficiency virus type 2 subtype A"
"27","UP000002319","60.47% (52/86)","16.28% (14/86)","13.95% (12/86)","9.3% (8/86)",NA,NA,NA,NA,"Encephalomyocarditis virus"
"28","UP000002327","46.08% (47/102)","48.04% (49/102)","5.88% (6/102)",NA,NA,NA,NA,NA,"Vesicular stomatitis Indiana virus"
"29","UP000002331","70.73% (145/205)","23.41% (48/205)","2.93% (6/205)","2.93% (6/205)",NA,NA,NA,NA,"Mumps virus"
"30","UP000002472","88.7% (212/239)","9.21% (22/239)","2.09% (5/239)",NA,NA,NA,NA,NA,"Human respiratory syncytial virus B"
"31","UP000002473","61.7% (58/94)","22.34% (21/94)","13.83% (13/94)","2.13% (2/94)",NA,NA,NA,NA,"Lassa virus"
"32","UP000002474","61.94% (83/134)","26.87% (36/134)","11.19% (15/134)",NA,NA,NA,NA,NA,"Lymphocytic choriomeningitis virus"
"33","UP000002476","67.29% (72/107)","21.5% (23/107)","11.21% (12/107)",NA,NA,NA,NA,NA,"Bunyamwera virus"
"34","UP000002477","50.55% (46/91)","42.86% (39/91)","6.59% (6/91)",NA,NA,NA,NA,NA,"Rift valley fever virus"
"35","UP000002500","79.69% (102/128)","12.5% (16/128)","7.81% (10/128)",NA,NA,NA,NA,NA,"Dengue virus type 1"
"36","UP000002602","57.62% (1592/2763)","26.02% (719/2763)","9.59% (265/2763)","2.61% (72/2763)","1.09% (30/2763)","3.08% (85/2763)",NA,NA,"Varicella-zoster virus"
"37","UP000006372","61.87% (86/139)","29.5% (41/139)","5.04% (7/139)","2.88% (4/139)","0.72% (1/139)",NA,NA,NA,"Human papillomavirus 1"
"38","UP000006579","70% (133/190)","24.74% (47/190)","2.11% (4/190)","3.16% (6/190)",NA,NA,NA,NA,"Ross river virus"
"39","UP000006624","44.92% (84/187)","48.66% (91/187)","6.42% (12/187)",NA,NA,NA,NA,NA,"Human parvovirus B19"
"40","UP000006675","66.67% (64/96)","20.83% (20/96)","4.17% (4/96)","8.33% (8/96)",NA,NA,NA,NA,"Hepatitis delta virus genotype I"
"41","UP000006705","64.75% (169/261)","24.9% (65/261)","6.13% (16/261)","3.83% (10/261)","0.38% (1/261)",NA,NA,NA,"Hepatitis E virus genotype 1"
"42","UP000006710","71.53% (196/274)","20.44% (56/274)","4.38% (12/274)","3.65% (10/274)",NA,NA,NA,NA,"Sindbis virus"
"43","UP000006716","59.92% (317/529)","28.36% (150/529)","9.83% (52/529)","1.7% (9/529)","0.19% (1/529)",NA,NA,NA,"Human coronavirus 229E (HCoV-229E)"
"44","UP000006724","58.82% (20/34)","29.41% (10/34)","11.76% (4/34)",NA,NA,NA,NA,NA,"Human hepatitis A virus genotype IB"
"45","UP000006826","70.87% (90/127)","27.56% (35/127)","1.57% (2/127)",NA,NA,NA,NA,NA,"Mokola virus"
"46","UP000006848","63.91% (108/169)","28.4% (48/169)","7.69% (13/169)",NA,NA,NA,NA,NA,"Tick-borne powassan virus"
"47","UP000006930","59.56% (5569/9350)","19.14% (1790/9350)","9.43% (882/9350)","3.3% (309/9350)","3.05% (285/9350)","5.28% (494/9350)","0.22% (21/9350)",NA,"Human herpesvirus 6B (strain Z29)"
"48","UP000006934","71.64% (48/67)","23.88% (16/67)","2.99% (2/67)","1.49% (1/67)",NA,NA,NA,NA,"Australian bat lyssavirus"
"49","UP000007070","62.35% (53/85)","27.06% (23/85)","10.59% (9/85)",NA,NA,NA,NA,NA,"Human rhinovirus A serotype 89"
"50","UP000007138","77.94% (106/136)","16.91% (23/136)","4.41% (6/136)","0.74% (1/136)",NA,NA,NA,NA,"Sagiyama virus"
"51","UP000007209","64.88% (109/168)","33.93% (57/168)","1.19% (2/168)",NA,NA,NA,NA,NA,"Zaire ebolavirus"
"52","UP000007214","80% (164/205)","19.02% (39/205)","0.98% (2/205)",NA,NA,NA,NA,NA,"Japanese encephalitis virus"
"53","UP000007226","60% (129/215)","38.14% (82/215)",NA,"1.86% (4/215)",NA,NA,NA,NA,"Southampton virus"
"54","UP000007232","72.29% (120/166)","21.08% (35/166)","6.63% (11/166)",NA,NA,NA,NA,NA,"Simian virus 5"
"55","UP000007407","55.43% (143/258)","26.36% (68/258)","17.44% (45/258)","0.78% (2/258)",NA,NA,NA,NA,"Hepatitis B virus genotype G"
"56","UP000007609","61.18% (93/152)","30.92% (47/152)","5.92% (9/152)","1.97% (3/152)",NA,NA,NA,NA,"Barmah forest virus"
"57","UP000007644","61.02% (108/177)","26.55% (47/177)","12.43% (22/177)",NA,NA,NA,NA,NA,"Louping ill virus"
"58","UP000007664","47.06% (64/136)","47.79% (65/136)","3.68% (5/136)","1.47% (2/136)",NA,NA,NA,NA,"Rotavirus C"
"59","UP000007710","55.84% (86/154)","39.61% (61/154)","3.25% (5/154)","1.3% (2/154)",NA,NA,NA,NA,"Human papillomavirus 2a"
"60","UP000007757","81.03% (47/58)","8.62% (5/58)","10.34% (6/58)",NA,NA,NA,NA,NA,"Coxsackievirus A16"
"61","UP000007767","71.03% (103/145)","20.69% (30/145)","8.28% (12/145)",NA,NA,NA,NA,NA,"Lordsdale virus"
"62","UP000007774","72.31% (141/195)","22.05% (43/195)","5.64% (11/195)",NA,NA,NA,NA,NA,"Mayaro virus"
"63","UP000008158","76.28% (119/156)","22.44% (35/156)","1.28% (2/156)",NA,NA,NA,NA,NA,"Influenza B virus"
"64","UP000008167","41.68% (2934/7040)","28.85% (2031/7040)","16.38% (1153/7040)","5.89% (415/7040)","3.92% (276/7040)","3.28% (231/7040)",NA,NA,"Human adenovirus C serotype 2"
"65","UP000008286","80.39% (82/102)","16.67% (17/102)","2.94% (3/102)",NA,NA,NA,NA,NA,"Influenza C virus"
"66","UP000008448","77.86% (109/140)","20% (28/140)","2.14% (3/140)",NA,NA,NA,NA,NA,"Chandipura virus"
"67","UP000008478","71.23% (52/73)","21.92% (16/73)","6.85% (5/73)",NA,NA,NA,NA,NA,"JC polyomavirus"
"68","UP000008591","53.46% (232/434)","22.58% (98/434)","22.58% (98/434)","0.46% (2/434)","0.92% (4/434)",NA,NA,NA,"Hepatitis B virus genotype C subtype ayr"
"69","UP000008595","66.07% (111/168)","28.57% (48/168)","5.36% (9/168)",NA,NA,NA,NA,NA,"Uukuniemi virus"
"70","UP000008596","52.96% (885/1671)","28.9% (483/1671)","14.12% (236/1671)","2.57% (43/1671)","1.2% (20/1671)","0.24% (4/1671)",NA,NA,"Yaba monkey tumor virus"
"71","UP000008627","60.58% (63/104)","27.88% (29/104)","11.54% (12/104)",NA,NA,NA,NA,NA,"Hantaan virus"
"72","UP000008649","60.2% (59/98)","28.57% (28/98)","10.2% (10/98)","1.02% (1/98)",NA,NA,NA,NA,"Rabies virus"
"73","UP000008663","62.86% (44/70)","15.71% (11/70)","21.43% (15/70)",NA,NA,NA,NA,NA,"Mengo encephalomyocarditis virus"
"74","UP000008683","56.9% (33/58)","39.66% (23/58)","3.45% (2/58)",NA,NA,NA,NA,NA,"Human enterovirus 70"
"75","UP000008699","58.88% (126/214)","33.64% (72/214)","7.48% (16/214)",NA,NA,NA,NA,NA,"Measles virus"
"76","UP000008767","73.54% (289/393)","17.3% (68/393)","8.91% (35/393)","0.25% (1/393)",NA,NA,NA,NA,"Crimean-Congo hemorrhagic fever virus"
"77","UP000008768","57.32% (47/82)","25.61% (21/82)","17.07% (14/82)",NA,NA,NA,NA,NA,"Bunyavirus La Crosse"
"78","UP000008771","66.5% (131/197)","26.9% (53/197)","3.05% (6/197)","3.55% (7/197)",NA,NA,NA,NA,"Hendra virus"
"79","UP000008863","70.45% (62/88)","21.59% (19/88)","7.95% (7/88)",NA,NA,NA,NA,NA,"Murray valley encephalitis virus"
"80","UP000008868","79.8% (79/99)","15.15% (15/99)","5.05% (5/99)",NA,NA,NA,NA,NA,"Onyong-nyong virus"
"81","UP000008926","60.24% (50/83)","37.35% (31/83)","2.41% (2/83)",NA,NA,NA,NA,NA,"European bat lyssavirus 1"
"82","UP000009109","73.97% (54/73)","13.7% (10/73)","9.59% (7/73)","2.74% (2/73)",NA,NA,NA,NA,"Human papillomavirus type 18"
"83","UP000009246","57.11% (1314/2301)","24.6% (566/2301)","7.87% (181/2301)","3.13% (72/2301)","4.13% (95/2301)","3.17% (73/2301)",NA,NA,"Human herpesvirus 7"
"84","UP000009251","80% (68/85)","17.65% (15/85)","2.35% (2/85)",NA,NA,NA,NA,NA,"Human papillomavirus type 16"
"85","UP000009255","54.07% (93/172)","37.79% (65/172)","7.56% (13/172)","0.58% (1/172)",NA,NA,NA,NA,"Influenza A virus"
"86","UP000009294","65.29% (10804/16547)","19.83% (3281/16547)","7.57% (1252/16547)","3.49% (578/16547)","1.96% (324/16547)","1.85% (306/16547)","0.01% (2/16547)",NA,"Human herpesvirus 1 (strain 17)"
"87","UP000009295","57.62% (4378/7598)","25.59% (1944/7598)","11.36% (863/7598)","4% (304/7598)","0.88% (67/7598)","0.55% (42/7598)",NA,NA,"Human herpesvirus 6A"
"88","UP000029742","59.51% (241/405)","23.7% (96/405)","15.06% (61/405)","1.73% (7/405)",NA,NA,NA,NA,"Salivirus A"
"89","UP000029743","60.64% (57/94)","31.91% (30/94)","7.45% (7/94)",NA,NA,NA,NA,NA,"Rosavirus A2"
"90","UP000029753","65.7% (136/207)","27.54% (57/207)","3.86% (8/207)","2.9% (6/207)",NA,NA,NA,NA,"Cosavirus A"
"91","UP000054557","73.85% (96/130)","22.31% (29/130)","3.85% (5/130)",NA,NA,NA,NA,NA,"Zika virus"
"92","UP000101269","52.96% (1816/3429)","28.58% (980/3429)","12.37% (424/3429)","2.89% (99/3429)","0.58% (20/3429)","0.47% (16/3429)","1.46% (50/3429)","0.7% (24/3429)","Monkeypox virus"
"93","UP000107189","74.14% (43/58)","22.41% (13/58)","3.45% (2/58)",NA,NA,NA,NA,NA,"KI Polyomavirus"
"94","UP000109776","54.55% (138/253)","40.71% (103/253)","2.37% (6/253)","2.37% (6/253)",NA,NA,NA,NA,"Human parainfluenza type 1 strain Washington/1964"
"95","UP000110237","75.21% (91/121)","22.31% (27/121)",NA,"2.48% (3/121)",NA,NA,NA,NA,"Puumala virus"
"96","UP000110644","66.67% (102/153)","24.18% (37/153)","9.15% (14/153)",NA,NA,NA,NA,NA,"Eastern equine encephalitis virus"
"97","UP000111173","52.49% (1952/3719)","33.37% (1241/3719)","10.06% (374/3719)","3.12% (116/3719)","0.78% (29/3719)","0.19% (7/3719)",NA,NA,"Horsepox virus"
"98","UP000114294","85.8% (139/162)","13.58% (22/162)","0.62% (1/162)",NA,NA,NA,NA,NA,"Rotavirus B"
"99","UP000117552","72% (54/75)","25.33% (19/75)","2.67% (2/75)",NA,NA,NA,NA,NA,"Duvenhage virus"
"100","UP000117676","84.91% (90/106)","11.32% (12/106)","3.77% (4/106)",NA,NA,NA,NA,NA,"Oropouche virus"
"101","UP000118542","65% (52/80)","22.5% (18/80)","8.75% (7/80)","1.25% (1/80)","2.5% (2/80)",NA,NA,NA,"WU polyomavirus"
"102","UP000119554","57.99% (399/688)","26.02% (179/688)","13.81% (95/688)","2.03% (14/688)",NA,"0.15% (1/688)",NA,NA,"Aichi virus"
"103","UP000127886","69.15% (65/94)","22.34% (21/94)","7.45% (7/94)","1.06% (1/94)",NA,NA,NA,NA,"Junin mammarenavirus"
"104","UP000128494","71.77% (89/124)","20.16% (25/124)","8.06% (10/124)",NA,NA,NA,NA,NA,"Western equine encephalitis virus"
"105","UP000136458","52.63% (60/114)","34.21% (39/114)","13.16% (15/114)",NA,NA,NA,NA,NA,"West Nile virus"
"106","UP000136581","52.89% (1292/2443)","32.58% (796/2443)","11.09% (271/2443)","2.74% (67/2443)","0.61% (15/2443)","0.08% (2/2443)",NA,NA,"Yaba-like disease virus"
"107","UP000137988","55.38% (6674/12051)","30.38% (3661/12051)","9.1% (1097/12051)","3.58% (432/12051)","0.93% (112/12051)","0.62% (75/12051)",NA,NA,"Cercopithecine alphaherpesvirus 2"
"108","UP000138183","64.23% (79/123)","33.33% (41/123)","2.44% (3/123)",NA,NA,NA,NA,NA,"Kunjin virus"
"109","UP000138352","44.04% (96/218)","55.05% (120/218)",NA,"0.92% (2/218)",NA,NA,NA,NA,"Human spumaretrovirus"
"110","UP000139415","70.79% (63/89)","22.47% (20/89)","6.74% (6/89)",NA,NA,NA,NA,NA,"Pichinde mammarenavirus"
"111","UP000142444","79.17% (114/144)","15.97% (23/144)","4.86% (7/144)",NA,NA,NA,NA,NA,"Toscana virus"
"112","UP000143570","71.08% (59/83)","28.92% (24/83)",NA,NA,NA,NA,NA,NA,"Human enterovirus D68"
"113","UP000145981","76.32% (29/38)","18.42% (7/38)",NA,"5.26% (2/38)",NA,NA,NA,NA,"BK polyomavirus"
"114","UP000147828","56.39% (384/681)","34.36% (234/681)","7.2% (49/681)","0.73% (5/681)","0.44% (3/681)","0.88% (6/681)",NA,NA,"SARS coronavirus PUMC03"
"115","UP000150053","61.54% (56/91)","24.18% (22/91)","9.89% (9/91)","4.4% (4/91)",NA,NA,NA,NA,"Bunyavirus snowshoe hare"
"116","UP000152733","51.65% (2286/4426)","30.75% (1361/4426)","11.07% (490/4426)","3.43% (152/4426)","0.79% (35/4426)","0.59% (26/4426)","0.47% (21/4426)","1.24% (55/4426)","Cowpox virus"
"117","UP000153037","66.97% (27908/41675)","21.63% (9014/41675)","6.03% (2512/41675)","2.04% (852/41675)","0.69% (289/41675)","1.05% (439/41675)","0.84% (349/41675)","0.75% (312/41675)","Epstein-Barr virus"
"118","UP000154903","67.31% (175/260)","14.23% (37/260)","10.77% (28/260)","7.31% (19/260)",NA,"0.38% (1/260)",NA,NA,"Merkel cell polyomavirus"
"119","UP000161306","82.29% (79/96)","10.42% (10/96)","7.29% (7/96)",NA,NA,NA,NA,NA,"Lagos bat virus"
"120","UP000170143","66.89% (101/151)","29.8% (45/151)","3.31% (5/151)",NA,NA,NA,NA,NA,"Nipah virus"
"121","UP000171441","56.21% (86/153)","30.72% (47/153)","9.8% (15/153)","3.27% (5/153)",NA,NA,NA,NA,"Venezuelan equine encephalitis virus"
"122","UP000171556","81.88% (122/149)","18.12% (27/149)",NA,NA,NA,NA,NA,NA,"St. louis encephalitis virus"
"123","UP000171868","64.89% (329/507)","30.97% (157/507)","3.75% (19/507)","0.39% (2/507)",NA,NA,NA,NA,"MERS"
"124","UP000180448","70.72% (157/222)","21.17% (47/222)","8.11% (18/222)",NA,NA,NA,NA,NA,"Lake Victoria marburgvirus"
"125","UP000180575","64.29% (90/140)","26.43% (37/140)","9.29% (13/140)",NA,NA,NA,NA,NA,"Langat virus"
"126","UP000180764","56.99% (53/93)","34.41% (32/93)","8.6% (8/93)",NA,NA,NA,NA,NA,"Adenoassociated virus 2"
"127","UP000181622","77.78% (91/117)","16.24% (19/117)","5.98% (7/117)",NA,NA,NA,NA,NA,"Dhori virus (Thogotovirus dhoriense)"
"128","UP000204017","71.29% (72/101)","20.79% (21/101)","7.92% (8/101)",NA,NA,NA,NA,NA,"Isfahan virus"
"129","UP000207620","60.92% (53/87)","31.03% (27/87)","6.9% (6/87)","1.15% (1/87)",NA,NA,NA,NA,"Seoul virus"
"130","UP000207632","69.91% (79/113)","22.12% (25/113)","6.19% (7/113)","1.77% (2/113)",NA,NA,NA,NA,"Sandfly fever Turkey virus"
"131","UP000214480","71.74% (66/92)","21.74% (20/92)","6.52% (6/92)",NA,NA,NA,NA,NA,"Punta toro phlebovirus"
"132","UP000233900","68.97% (60/87)","26.44% (23/87)","1.15% (1/87)","3.45% (3/87)",NA,NA,NA,NA,"Machupo virus"
"133","UP000243571","100% (2/2)",NA,NA,NA,NA,NA,NA,NA,"Human torovirus"
"134","UP000464024","63.79% (650/1019)","25.02% (255/1019)","9.62% (98/1019)","1.28% (13/1019)","0.29% (3/1019)",NA,NA,NA,"SARS coronavirus 2"
